Designator,Mid X,Mid Y,Rotation,Layer
D1,132.975,-56.415,90.0,bottom
D10,152.025,-94.515,90.0,bottom
D11,161.81,-104.2,180.0,bottom
D12,132.975,-113.565,90.0,bottom
D13,152.025,-113.565,90.0,bottom
D14,161.19,-123.0,180.0,bottom
D15,190.125,-123.09,90.0,bottom
D16,142.5,-132.615,90.0,bottom
D17,150.95,-135.03,270.0,bottom
D18,116.35,-104.325,180.0,top
D2,152.025,-56.415,90.0,bottom
D3,171.075,-56.415,90.0,bottom
D4,190.125,-56.415,90.0,bottom
D5,132.975,-75.465,90.0,bottom
D6,152.025,-75.465,90.0,bottom
D7,162.01,-85.0,180.0,bottom
D8,190.125,-84.99,90.0,bottom
D9,132.975,-94.515,90.0,bottom
J2,105.0,-121.34,0.0,bottom
R1,123.41,-66.4,180.0,bottom
S1,123.42,-57.625,0.0,top
S10,142.47,-95.725,0.0,top
S11,161.52,-95.725,0.0,top
S12,123.42,-114.775,0.0,top
S13,142.47,-114.775,0.0,top
S14,161.52,-114.775,0.0,top
S15,180.57,-124.3,0.0,top
S16,132.945,-133.825,0.0,top
S17,161.52,-133.825,0.0,top
S2,142.47,-57.625,0.0,top
S3,161.52,-57.625,0.0,top
S4,180.57,-57.625,0.0,top
S5,123.42,-76.675,0.0,top
S6,142.47,-76.675,0.0,top
S7,161.52,-76.675,0.0,top
S8,180.57,-86.2,0.0,top
S9,123.42,-95.725,0.0,top
SW1,104.375,-95.475,270.0,top
SW2,104.425,-134.5,270.0,bottom
